Title,Description,Link
Web scraping,"Web scraping, web harvesting, or web data extraction is data scraping used for extracting data from websites.[1] Web scraping software may directly access the World Wide Web using the Hypertext Transfer Protocol or a web browser. While web scraping can be done manually by a software user, the term typically refers to automated processes implemented using a bot or web crawler. It is a form of copying in which specific data is gathered and copied from the web, typically into a central local database or spreadsheet, for later retrieval or analysis.
",https://en.wikipedia.org/wiki/Web_scraping
Wrapper (data mining),"Wrapper in data mining is a procedure that extracts regular subcontent of an unstructured or loosely-structured information source and translates it into a relational form, so it can be processed as structured data.[1] Wrapper induction is the problem of devising extraction procedures on an automatic basis, with minimal reliance on hand-crafted rules. 
",https://en.wikipedia.org/wiki/Wrapper_(data_mining)
Web scraping,"Web scraping, web harvesting, or web data extraction is data scraping used for extracting data from websites.[1] Web scraping software may directly access the World Wide Web using the Hypertext Transfer Protocol or a web browser. While web scraping can be done manually by a software user, the term typically refers to automated processes implemented using a bot or web crawler. It is a form of copying in which specific data is gathered and copied from the web, typically into a central local database or spreadsheet, for later retrieval or analysis.
",https://en.wikipedia.org/wiki/Web_scraping
Microformat,"Microformats (μF)[note 1] are a set of defined HTML classes created to serve as consistent and descriptive metadata about an element, designating it as representing a certain type of data (such as contact information, geographic coordinates, events, blog posts, products, recipes, etc.).[1] They allow software to process the information reliably by having set classes refer to a specific type of data rather than being arbitrary.
",https://en.wikipedia.org/wiki/Microformat
Common Logic,"Common Logic (CL) is a framework for a family of logic languages, based on first-order logic, intended to facilitate the exchange and transmission of knowledge in computer-based systems.[1]
",https://en.wikipedia.org/wiki/Common_Logic
ISLISP,"ISLISP (also capitalized as ISLisp) is a programming language in the Lisp family standardized by the International Organization for Standardization (ISO) and International Electrotechnical Commission (IEC) joint working group ISO/IEC JTC 1/SC 22/WG 16[1] (commonly termed simply SC22/WG16 or WG16). The primary output of this working group was an international standard, published by ISO.[2] The standard was updated in 2007 and republished as ISO/IEC 13816:2007(E).[3][4]  Although official publication was through ISO, versions of the ISLISP language specification are available that are believed to be in the public domain.[5]
",https://en.wikipedia.org/wiki/ISLISP
Help:Category,"Categories are intended to group together pages on similar subjects. They are implemented by a MediaWiki feature that adds any page with a text like [[Category:XYZ]] in its wiki markup to the automated listing that is the category with name XYZ. Categories help readers to find, and navigate around, a subject area, to see pages sorted by title, and to thus find article relationships.
",https://en.wikipedia.org/wiki/Help:Category
Help:Link,"This page explains how to make the wikilink, interwiki link, or external web link (as hyperlinks) connections on Wikipedia, which gives readers one-click access to other Wikipedia pages, other Wikimedia projects, and external websites.
",https://en.wikipedia.org/wiki/Help:Piped_link
Help:Pipe trick,"The pipe trick uses the pipe character (""|"") to save typing the label of a piped link for several kinds of wiki links. This can avoid potentially making an error while typing the label.
",https://en.wikipedia.org/wiki/Wikipedia:Pipe_trick
Template:Template link bare,"[[Template:{{{1}}}|{{{1}}}]]
",https://en.wikipedia.org/wiki/Template:Tlbare
Wikipedia:Shortcut,"A shortcut is a specialized type of redirect page that provides an abbreviated wikilink to an administrative page or one of its sections, usually from the Wikipedia namespace or Help namespace. These shortcuts' abbreviations in all-caps text are commonly used (linked or unlinked) on community pages and talk pages, but should not be used in articles themselves. If there are one or more shortcuts for a page or section, one or more will usually be chosen to be displayed in an information box on the right labelled Shortcut or Shortcuts, as can be seen at the top of this page.
",https://en.wikipedia.org/wiki/Wikipedia:Shortcut
Wikipedia:WTF? OMG! TMD TLA. ARG!,"WTF? OMG! TMD TLA. ARG!
",https://en.wikipedia.org/wiki/Wikipedia:WOTTA
Wikipedia:Deny recognition,"True vandals and trolls (as distinguished from users who dabble in minor vandalism) usually suffer from chronic alienation and real or perceived powerlessness. They seek recognition and infamy by interrupting and frustrating the Wikipedia project and community. Such users experience exceptional attention as empowerment, reward and encouragement. This is particularly true for those prolific vandals who have been immortalised on Wikipedia pages, meticulously catalogued by category pages, targeted by dedicated templates, and thereby have become a noted part of wiki culture.[a]
",https://en.wikipedia.org/wiki/Wikipedia:Deny_recognition
Wikipedia:Wikipedia clones,"A Wikipedia clone, also called a Wikipedia mirror site, is a web site that uses information derived wholly or in large part from Wikipedia. The information displayed on the site either may come from an older version of one or more Wikipedia articles that the site has never updated, or may be designed to update the information each time the respective Wikipedia article(s) are edited. Some Wikipedia clones are robotically created without human inspection to verify their accuracy. Most run advertisements to generate revenue.
",https://en.wikipedia.org/wiki/Wikipedia:Wikipedia_clones
Wikipedia:Wikipedia is not here to tell the world about your noble cause,"Wikipedia attracts many people who want to advertise companies or individuals, with a view to increasing their customer base and hence their profits. It also attracts people wishing to promote their political causes.  Inappropriate articles that are blatant advertising are eligible for speedy deletion on that basis; inappropriate external links should be removed, since Wikipedia isn't to be used for spam.
",https://en.wikipedia.org/wiki/Wikipedia:Wikipedia_is_not_here_to_tell_the_world_about_your_noble_cause
Wikipedia:Competence is required,"Wikipedia is a big place, with many editors, all with their own opinions on how to do things. It seems surprising that we are able to work together functionally, but somehow this is what usually happens.
",https://en.wikipedia.org/wiki/Wikipedia:Competence_is_required
Wikipedia:You have a right to remain silent,"If an editor has addressed you with a query or comment, you should not feel an obligation to answer. Never forget that you have a right to remain silent. That's often the best option, especially when things are getting hot in a content discussion.  
",https://en.wikipedia.org/wiki/Wikipedia:You_have_a_right_to_remain_silent
Wikipedia:Nationalist editing,"Having a neutral point of view (NPOV) is a core principle of Wikipedia. This means that advocacy for national, ethnic, or similar points of view (or any other points of view) over competing points of view is inappropriate for an editor. If you find that you've come here for the primary purpose of making articles related to a nation or ethnic group that is involved in a dispute more ""correct"" you may be not here to build an encyclopedia. Editors of this nature often have a single-purpose account and focus exclusively on the nationalism- or identity-related topics.
",https://en.wikipedia.org/wiki/Wikipedia:Nationalist_editing
Wikipedia:Wikipedia is not here to tell the world about your noble cause,"Wikipedia attracts many people who want to advertise companies or individuals, with a view to increasing their customer base and hence their profits. It also attracts people wishing to promote their political causes.  Inappropriate articles that are blatant advertising are eligible for speedy deletion on that basis; inappropriate external links should be removed, since Wikipedia isn't to be used for spam.
",https://en.wikipedia.org/wiki/Wikipedia:Wikipedia_is_not_here_to_tell_the_world_about_your_noble_cause
Wikipedia:Avoid template creep,"Template creep, also known as creeping templatitis, is the tendency for some Wikipedia articles (and talk pages) to become gradually cluttered with templates. While templates are intended to provide useful features and simplify the editing process (indeed, many are now vital to the functioning of Wikipedia), their overuse can  violate the KISS principle (upheld in Wikipedia policy nuggets such as avoid instruction creep and ignore all rules), create a barrier to editing for newcomers, and may also infringe on what Wikipedia is not. Always keep in mind the scope of Wikipedia when adding new features or functionality to it in the form of ingenious templates.
",https://en.wikipedia.org/wiki/Wikipedia:Avoid_template_creep
Wikipedia:Notability (high schools),"Articles on high schools and secondary schools, with rare exceptions, have been kept when nominated at Articles for Deletion except where they fail verifiability.
",https://en.wikipedia.org/wiki/Wikipedia:Notability_(high_schools)
Wikipedia:Independent sources,"Identifying and using independent sources (also called third-party sources) helps editors build non-promotional articles that fairly portray the subject, without undue attention to the subject's own views. Using independent sources helps protect the project from people using Wikipedia for self-promotion, personal financial benefit, and other abuses. Reliance on independent sources ensures that an article can be written from a balanced, disinterested viewpoint rather than from the subject's own viewpoint or from the viewpoint of people with an ax to grind. Emphasizing the views of disinterested sources is necessary to achieve a neutral point of view in an article.  It also ensures articles can catalog a topic's worth and its role and achievements within society, rather than offering a directory listing or the contents of a sales brochure.
",https://en.wikipedia.org/wiki/Wikipedia:Independent_sources
Template:Third-party,"This template is used in articles to identify articles that name sources, but that are biased because every source named has a very close connection to the subject, such as the manufacturer of a product.  This template can be used for any closely affiliated source, even if the source is not self-published.
",https://en.wikipedia.org/wiki/Template:Third-party
Template:Hoax,"This template will categorise articles into Category:Wikipedia suspected hoax articles.
",https://en.wikipedia.org/wiki/Template:Hoax
Template:Self-reference cleanup,"The default words ""article or section"" are replaceable: {{Self-reference cleanup|table}} produces:
",https://en.wikipedia.org/wiki/Template:Self-reference_cleanup
Editing Template:Self-reference cleanup/doc,"Copy and paste: – — ° ′ ″ ≈ ≠ ≤ ≥ ± − × ÷ ← → · §   Sign your posts on talk pages: ~~~~   Cite your sources: &lt;ref&gt;&lt;/ref&gt; 
",https://en.wikipedia.org/wiki/Special:EditPage/Template:Self-reference_cleanup/doc
Module:Format link,"This module, migrated from origins in Module:Hatnote, provides functionality for formatting links for display, including that powering the {{format link}} template.
",https://en.wikipedia.org/wiki/Module:Format_link
Wikipedia:Template documentation,"Templates are a very powerful feature of MediaWiki, but can be confusing to new users and even experienced users can have difficulty making sense of the more complex ones. Templates should therefore be accompanied by documentation to improve usability.
",https://en.wikipedia.org/wiki/Wikipedia:Template_documentation
Help:HTML in wikitext,"The MediaWiki software, which drives Wikipedia, allows the use of a subset of HTML 5 elements, or tags and their attributes, for presentation formatting.[1] But most HTML can be included by using equivalent wiki markup or templates; these are generally preferred within articles, as they are sometimes simpler for most editors and less intrusive in the editing window; but Wikipedia's Manual of Style recommends their use in certain cases. (See Help:Wikitext for wiki equivalents to HTML tags not otherwise discussed below.) And HTML is useful outside of articles, for example for formatting within templates. For help with Cascading Style Sheet use within Wikipedia see Help:Cascading Style Sheets.
",https://en.wikipedia.org/wiki/Help:HTML_in_wikitext
File:Original Ribbon.png,"Original file ‎(930 × 330 pixels, file size: 404 KB, MIME type: image/png)
",https://en.wikipedia.org/wiki/File:Original_Ribbon.png
User:Jerry/EditorIndex,"Jerry (talk · contribs · blocks · protections · deletions · page moves · rights · RfA)
",https://en.wikipedia.org/wiki/User:Jerry/EditorIndex
Mobile app,"A mobile application or app is a computer program or software application designed to run on a mobile device such as a phone, tablet, or watch. Mobile applications often stand in contrast to desktop applications which are designed to run on desktop computers, and web applications which run in mobile web browsers rather than directly on the mobile device.
",https://en.wikipedia.org/wiki/Mobile_app
iPadOS,"iPadOS is a mobile operating system developed by Apple Inc. for its iPad line of tablet computers. It was given a name distinct from iOS, the operating system used by Apple's iPhones to reflect the diverging features of the two product lines, such as multitasking. It was introduced as iPadOS 13 in 2019, reflecting its status as the successor to iOS 12 for the iPad, at the company's 2019 Worldwide Developers Conference.[8]
",https://en.wikipedia.org/wiki/IPadOS
System 7,"System 7 (later named Mac OS 7) is the seventh major release of the classic Mac OS operating system for Macintosh computers, made by Apple Computer. It was launched on May 13, 1991, to succeed System 6 with virtual memory, personal file sharing, QuickTime, TrueType fonts, the Force Quit dialog, and an improved user interface.[1][2]
",https://en.wikipedia.org/wiki/System_7
Memory management unit,"A memory management unit (MMU), sometimes called paged memory management unit (PMMU),[1] is a computer hardware unit that examines all memory references on the memory bus, translating these requests, known as virtual memory addresses, into physical addresses in main memory.
",https://en.wikipedia.org/wiki/Memory_management_unit
Adder (electronics),"An adder, or summer,[1] is a digital circuit that performs addition of numbers. In many computers and other kinds of processors, adders are used in the arithmetic logic units (ALUs). They are also used in other parts of the processor, where they are used to calculate addresses, table indices, increment and decrement operators and similar operations.
",https://en.wikipedia.org/wiki/Adder_(electronics)
Load–store architecture,"In computer engineering, a load–store architecture (or a register–register architecture) is an instruction set architecture that divides instructions into two categories: memory access (load and store between memory and registers) and ALU operations (which only occur between registers).[1]: 9–12 
",https://en.wikipedia.org/wiki/Load%E2%80%93store_architecture
Template:Comp-eng-stub,This computer-engineering-related article is a stub. You can help Wikipedia by expanding it.,https://en.wikipedia.org/wiki/Template:Comp-eng-stub
Computer engineering,"Computer engineering (CoE or CpE) is a branch of computer science and electronic engineering that integrates several fields of computer science and electronic engineering required to develop computer hardware and software.[1] 
Computer engineering is referred to as computer science and engineering at some universities.
",https://en.wikipedia.org/wiki/Computer_engineering
Template:Cite web,"This Citation Style 1 template is used to create citations for web sources that are not characterized by another CS1 template. Do not use this template in the ""External links"" section of articles.
",https://en.wikipedia.org/wiki/Template:Cite_web
International Standard Music Number,"The International Standard Music Number or ISMN (ISO 10957) is a thirteen-character alphanumeric identifier for printed music developed by ISO.
",https://en.wikipedia.org/wiki/International_Standard_Music_Number
ISO 6943,"
ISO 6943 is a specification created by the International Organization for Standardization for a method in determining the tension fatigue of vulcanised rubber.[1]
",https://en.wikipedia.org/wiki/ISO_6943
ISO 2709,"ISO 2709 is an ISO standard for bibliographic descriptions, titled Information and documentation—Format for information exchange.[1]
",https://en.wikipedia.org/wiki/ISO_2709
ISO/IEC 8859-9,"ISO/IEC 8859-9:1999, Information technology — 8-bit single-byte coded graphic character sets — Part 9: Latin alphabet No. 5, is part of the ISO/IEC 8859 series of ASCII-based standard character encodings, first edition published in 1989. It is designated ECMA-128 by Ecma International and TS 5881 as a Turkish standard.[2] It is informally referred to as Latin-5 or Turkish. It was designed to cover the Turkish language (and the vast majority of users use it for that language, even though it can also be used for some other languages), designed as being of more use than the ISO/IEC 8859-3 encoding. It is identical to ISO/IEC 8859-1 except for the replacement of six Icelandic characters (Ðð, Ýý, Þþ) with characters unique to the Turkish alphabet (Ğğ, İ, ı, Şş).  And the uppercase of i is İ; the lowercase of I is ı.
",https://en.wikipedia.org/wiki/ISO/IEC_8859-9
List of IEC standards,"The International Electrotechnical Commission (IEC; French: Commission électrotechnique internationale) is an international standards organization that prepares and publishes international standards for all electrical, electronic and related technologies. IEC standards cover a vast range of technologies within electrotechnology.
",https://en.wikipedia.org/wiki/List_of_IEC_standards
ISO 19092-2,"ISO 19092 Financial Services - Biometrics - Part 2: Message syntax and cryptographic requirements is an ISO standard that describes the techniques, protocols, cryptographic requirements, and syntax for using biometrics as an identification and verification mechanism in a wide variety of security applications in the financial industry.[1][2] This standard provides support for policy based matching decisions for remote authentication and allows biometrics to be used securely with the ISO 8583 retail transaction messaging standard.[3] A secure review and audit event journal syntax is provided that allows many of the security controls specified in ISO 19092-1 to be implemented.[4]
",https://en.wikipedia.org/wiki/ISO_19092-2
Graphical Kernel System,"The Graphical Kernel System (GKS) was the first ISO standard for low-level computer graphics, introduced in 1977. A draft international standard was circulated for review in September 1983.[1][2][3]
Final ratification of the standard was achieved in 1985.[4][5]
",https://en.wikipedia.org/wiki/Graphical_Kernel_System
126 film,"126 film is a cartridge-based film format used in still photography.  It was introduced by Kodak in 1963, and is associated mainly with low-end point-and-shoot cameras, particularly Kodak's own Instamatic series of cameras.
",https://en.wikipedia.org/wiki/126_film
ISO 31-7,"ISO 31-7 is the part of international standard ISO 31 that defines names and symbols for quantities and units related to acoustics. It is superseded by ISO 80000-8.
",https://en.wikipedia.org/wiki/ISO_31-7
ISO 11783,"ISO 11783, known as Tractors and machinery for agriculture and forestry—Serial control and communications data network (commonly referred to as ""ISOBUS"") is a communication protocol for the agriculture industry based on, and harmonized with, the SAE J1939 protocol (which is based on the CAN bus).
",https://en.wikipedia.org/wiki/ISO_11783
Film speed,"Film speed is the measure of a photographic film's sensitivity to light, determined by sensitometry and measured on various numerical scales, the most recent being the ISO system introduced in 1974. A closely related system, also known as ISO, is used to describe the relationship between exposure and output image lightness in digital cameras.  Prior to ISO, the most common systems were ASA in the U.S. and DIN in Europe.
",https://en.wikipedia.org/wiki/Film_speed
ISO 17100,"ISO 17100:2015 Translation Services-Requirements for Translation Services was published on May 1, 2015. It was prepared by the International Organization for Standardization's Technical Committee ISO/TC 37, Terminology and other language and content resources, Subcommittee SC 5, Translation, interpreting and related technology.
",https://en.wikipedia.org/wiki/ISO_17100
Graphical Kernel System,"The Graphical Kernel System (GKS) was the first ISO standard for low-level computer graphics, introduced in 1977. A draft international standard was circulated for review in September 1983.[1][2][3]
Final ratification of the standard was achieved in 1985.[4][5]
",https://en.wikipedia.org/wiki/Graphical_Kernel_System
ISO/IEC 9126,"
ISO/IEC 9126 Software engineering — Product quality was an international standard for the evaluation of software quality. It has been replaced by ISO/IEC 25010:2011.[1]
",https://en.wikipedia.org/wiki/ISO/IEC_9126
ISO/IEC 29119,"ISO/IEC/IEEE 29119 Software and systems engineering -- Software testing[1] is a series of five international standards for software testing. First developed in 2007[2] and released in 2013, the standard ""defines vocabulary, processes, documentation, techniques, and a process assessment model for testing that can be used within any software development lifecycle.""[3]
",https://en.wikipedia.org/wiki/ISO/IEC_29119
MPEG-G,"MPEG-G (ISO / IEC 23092) is an ISO/IEC standard designed for genomic information representation by the collaboration of the ISO/IEC JTC 1/SC 29/WG 9 (MPEG) and ISO TC 276 ""Biotechnology"" Work Group 5. The goal of the standard is to provide interoperable solutions for data storage, access, and protection across different possible implementations for data information generated by high-throughput sequencing machines and their subsequent processing and analysis.[1][2] The standard is composed of different parts, each one addressing a specific aspect, such as compression, metadata association, Application Programming Interfaces (APIs), and a reference software for data decoding. Together with the reference decoder software, commercial and open source[3] implementations started to be available in 2019, covering progressively more of the published parts of the standard.
",https://en.wikipedia.org/wiki/MPEG-G
IP-XACT,"IP-XACT, also known as IEEE 1685,[1] is an XML format that defines and describes individual, re-usable electronic circuit designs (individual pieces of intellectual property, or IPs) to facilitate their use in creating integrated circuits (i.e. microchips). IP-XACT was created by the SPIRIT Consortium as a standard to enable automated configuration and integration through tools[2] and evolving into an IEEE standard.
",https://en.wikipedia.org/wiki/IP-XACT
Book sources,"This page allows users to search multiple sources for a book given a 10- or 13-digit International Standard Book Number. Spaces and dashes in the ISBN do not matter.
",https://en.wikipedia.org/wiki/Special:BookSources/978-0-7381-9226-0
State Library of Western Australia,"The State Library of Western Australia is a research, education, reference and public lending library located in the Perth Cultural Centre in Perth, Western Australia. It is a portfolio agency of the Western Australia Department of Culture and the Arts, and facilitated by the Library Board of Western Australia.
",https://en.wikipedia.org/wiki/State_Library_of_Western_Australia
Category:State libraries of Australia,"State Libraries are the main library in each state of Australia - 
",https://en.wikipedia.org/wiki/Category:State_libraries_of_Australia
Category:Commons category link is on Wikidata,"This category has the following 200 subcategories, out of 241,876 total.
",https://en.wikipedia.org/wiki/Category:Commons_category_link_is_on_Wikidata
Category:1939 in Chile,"This category has the following 2 subcategories, out of 2 total.
",https://en.wikipedia.org/wiki/Category:1939_in_Chile
Chile,"Chile,[a] officially the Republic of Chile,[b] is a country in western South America. It is the southernmost country in the world and the closest to Antarctica, stretching along a narrow strip of land between the Andes Mountains and the Pacific Ocean. With an area of 756,102 square kilometers (291,933 sq mi)[3] and a population of 17.5 million as of 2017,[10] Chile shares borders with Peru to the north, Bolivia to the northeast, Argentina to the east, and the Drake Passage to the south. The country also controls several Pacific islands, including Juan Fernández, Isla Salas y Gómez, Desventuradas, and Easter Island, and claims about 1,250,000 square kilometers (480,000 sq mi) of Antarctica as the Chilean Antarctic Territory.[nb 2] The capital and largest city of Chile is Santiago, and the national language is Spanish.
",https://en.wikipedia.org/wiki/Chile
Conquistador,"Conquistadors (/kɒnˈk(w)ɪstədɔːrz/, .mw-parser-output .IPA-label-small{font-size:85%}.mw-parser-output .references .IPA-label-small,.mw-parser-output .infobox .IPA-label-small,.mw-parser-output .navbox .IPA-label-small{font-size:100%}US also /-ˈkiːs-, kɒŋˈ-/) or conquistadores[1] (Spanish: [koŋkistaˈðoɾes], Portuguese: [kõkiʃtɐˈðoɾɨʃ, kõkistɐˈdoɾis]; lit 'conquerors') was a term used to refer to Spanish and Portuguese colonialists of the early modern period.[2][3] During the Age of Discovery, conquistadors sailed beyond Iberian Peninsula to the Americas, Oceania, Africa and Asia, establishing new colonies and trade routes. They brought much of the ""New World"" under the dominion of Spain and Portugal.
",https://en.wikipedia.org/wiki/Conquistador
Aztecs,"The Aztecs[a] (/ˈæztɛks/ AZ-teks) were a Mesoamerican culture that flourished in central Mexico in the post-classic period from 1300 to 1521. The Aztec people included different ethnic groups of central Mexico, particularly those groups who spoke the Nahuatl language and who dominated large parts of Mesoamerica from the 14th to the 16th centuries. Aztec culture was organized into city-states (altepetl), some of which joined to form alliances, political confederations, or empires. The Aztec Empire was a confederation of three city-states established in 1427: Tenochtitlan, city-state of the Mexica or Tenochca, Texcoco, and Tlacopan, previously part of the Tepanec empire, whose dominant power was Azcapotzalco. Although the term Aztecs[1] is often narrowly restricted to the Mexica of Tenochtitlan, it is also broadly used to refer to Nahua polities or peoples of central Mexico in the prehispanic era,[2] as well as the Spanish colonial era (1521–1821).[3] The definitions of Aztec and Aztecs have long been the topic of scholarly discussion ever since German scientist Alexander von Humboldt established its common usage in the early 19th century.[4]
",https://en.wikipedia.org/wiki/Aztecs#Music_and_song
University of Texas Press,"The University of Texas Press (or UT Press) is a university press that is part of the University of Texas at Austin.  Established in 1950, the Press publishes scholarly books and journals in several areas, including Latin American studies, Texana, anthropology, U.S. Latino studies, Native American studies, African American studies, film &amp; media studies, classics and the ancient Near East, Middle East studies, natural history, art, and architecture.  The Press also publishes trade books and journals relating to their major subject areas.
",https://en.wikipedia.org/wiki/University_of_Texas_Press
University of Texas Press,"The University of Texas Press (or UT Press) is a university press that is part of the University of Texas at Austin.  Established in 1950, the Press publishes scholarly books and journals in several areas, including Latin American studies, Texana, anthropology, U.S. Latino studies, Native American studies, African American studies, film &amp; media studies, classics and the ancient Near East, Middle East studies, natural history, art, and architecture.  The Press also publishes trade books and journals relating to their major subject areas.
",https://en.wikipedia.org/wiki/Archaeoastronomy:_The_Journal_of_Astronomy_in_Culture
Category:University of Texas System,"This category has the following 6 subcategories, out of 6 total.
",https://en.wikipedia.org/wiki/Category:University_of_Texas_System
William P. Clements Jr. University Hospital,"William P. Clements Jr. University Hospital is a hospital in the Southwestern Medical District in Dallas, Texas, United States.  It is one of the main teaching hospitals of the University of Texas Southwestern Medical Center.
",https://en.wikipedia.org/wiki/William_P._Clements_Jr._University_Hospital
Category:Commons category link is on Wikidata,"This category has the following 200 subcategories, out of 241,876 total.
",https://en.wikipedia.org/wiki/Category:Commons_category_link_is_on_Wikidata
Category:1942 in Cyprus,"This category has only the following subcategory.
",https://en.wikipedia.org/wiki/Category:1942_in_Cyprus
